Price,Brand,Model,Version,Year,Milleage,Doors,Fuel,Shield,Color,Transmision,Direction,Traction,Only owner,Motor,Cylinders
21.400.000,Renault,Sandero,GT Line,2011,82.200 km,4,Gasolina,nan,nan,Manual,nan,nan,nan,nan,nan
41.990.000,Renault,Sandero,Life Evolucion,2020,1 km,5,Gasolina,000,nan,Manual,nan,nan,nan,nan,nan
38.500.000,Renault,Sandero,RS,2017,20.000 km,5,Gasolina,777,nan,Manual,nan,nan,nan,nan,nan
17.500.000,Renault,Sandero,Expression,2011,102.919 km,5,Gasolina,Placa par,nan,Mecánica,nan,nan,nan,nan,nan
35.890.000,Renault,Sandero,LIFE,2020,0 km,4,Gasolina,OOO000,nan,Mecánica,nan,nan,nan,nan,nan
25.000.000,Renault,Sandero,nan,2013,38.000 km,nan,nan,impar,Rojo,Manual,Hidráulica,nan,nan,nan,nan
29.500.000,Renault,Sandero,nan,2018,44.000 km,nan,Gasolina,efm917,Rojo,Manual,Hidráulica,nan,nan,1600,nan
30.500.000,Renault,Sandero,nan,2019,16.000 km,nan,Gasolina,xxxxx4,nan,Mecánica,nan,nan,nan,nan,nan
24.500.000,Renault,Sandero,Automatico,2014,43.800 km,5,Gasolina,HGV160,nan,Automática,nan,nan,nan,nan,nan
21.000.000,Renault,Sandero,nan,2012,67.000 km,nan,nan,MAW604,nan,Mecánica,nan,nan,nan,nan,nan
33.000.000,Renault,Sandero,2018,2018,19.000 km,5,Gasolina,par,nan,Mecánica,nan,nan,nan,nan,nan
25.700.000,Renault,Sandero,Expresion,2015,38.000 km,5,Gasolina,ZZP340,nan,Mecánica,nan,nan,nan,nan,nan
23.000.000,Renault,Sandero,Autectic,2013,44.000 km,4,Gasolina,HBM,nan,Mecánica,nan,nan,nan,nan,nan
41.500.000,Renault,Sandero,Sandero RS,2017,7.100 km,5,Gasolina,Par,nan,Mecánica,nan,nan,nan,nan,nan
19.000.000,Renault,Sandero,Autentique 2012,2012,84.000 km,5,Gasolina,Pares,nan,Mecánica,nan,nan,nan,nan,nan
20.000.000,Renault,Sandero,Autentic,2012,93.300 km,4,Gasolina,Par,nan,Mecánica,nan,nan,nan,nan,nan
23.000.000,Renault,Sandero,Sandero 2015,2015,50.000 km,4,Gasolina,Impar,nan,Mecánica,nan,nan,nan,nan,nan
19.000.000,Renault,Sandero,Sandero gt,2010,122.000 km,5,Gasolina,Ddi 820,nan,Mecánica,nan,nan,nan,nan,nan
33.900.000,Renault,Sandero,SANDERO DYNAMIQUE 1600 CC AB AA,2017,42.000 km,4,Gasolina,XXX006,Plateado,Automática,Hidráulica,nan,Sí,nan,nan
18.900.000,Renault,Sandero,RENAULT SANDERO,2012,87.000 km,4,Gasolina,FFFF0,Gris,Automática,Hidráulica,4x2,nan,nan,nan
26.900.000,Renault,Sandero,EXPRESSION MT 1600CC AA,2016,16.400 km,5,Gasolina,INL 298,AzulPerson,Mecánica,Electroasistida,4x2,nan,nan,nan
33.000.000,Renault,Sandero,Dynamique,2016,35.600 km,5,Gasolina,IVU 204,Azul,Mecánica,Hidráulica,4x2,nan,nan,nan
29.000.000,Renault,Sandero,Dynamique,2016,35.000 km,4,Gasolina,UTP-624,Gris,Mecánica,Hidráulica,4x2,nan,nan,nan
31.000.000,Renault,Sandero,LIFE MT 1600CC AA,2019,7.100 km,5,Gasolina,FFZ-162,Rojo,Mecánica,Hidráulica,4x2,Sí,nan,nan
21.800.000,Renault,Sandero,SANDERO,2014,37.000 km,5,Gasolina,HBW770,GRISBEIGE,Mecánica,Asistida,4x2,nan,nan,nan
24.500.000,Renault,Sandero,SANDERO EXPRESSION,2016,75.000 km,5,Gasolina,FFFFF2,Gris,Mecánica,Hidráulica,4x2,nan,nan,nan
28.900.000,Renault,Sandero,Automatiq AT 1600CC AA,2016,20.000 km,5,Gasolina,USV-566,Gris,Automáticasecuencial,Asistida,4x2,nan,nan,nan
19.000.000,Renault,Sandero,EXPRESSION A.A,2010,79.000 km,5,Gasolina,ABK-738,Rojo,Mecánica,Asistida,4x2,nan,nan,nan
